place,movie_title,rating,year,star_cast
1,The Shawshank Redemption,9.233948287282786,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
2,The Godfather,9.156033330330857,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
3,The Dark Knight,8.985750599012206,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
4,The Godfather Part II,8.984211541532183,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
5,12 Angry Men,8.947841017657321,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
6,Schindler's List,8.935322474759083,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
7,The Lord of the Rings: The Return of the King,8.921387914790248,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
8,Pulp Fiction,8.85062121610472,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
9,The Lord of the Rings: The Fellowship of the Ring,8.803785821450536,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
1," Il buono, il brutto, il cattivo",8.793515144861123,1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
11,Forrest Gump,8.767376449707067,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
12,Fight Club,8.749835569426057,1999,"David Fincher (dir.), Brad Pitt, Edward Norton"
13,Inception,8.732944851330979,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
14,The Lord of the Rings: The Two Towers,8.728045120805382,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
15,The Empire Strikes Back,8.701728423487214,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
16,The Matrix,8.670913452055242,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
17,Goodfellas,8.65170310393196,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
18,One Flew Over the Cuckoo's Nest,8.641043446233677,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
19,Se7en,8.60410821852255,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
20,Shichinin no samurai,8.598841068215444,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
21,It's a Wonderful Life,8.596807848769908,1946,"Frank Capra (dir.), James Stewart, Donna Reed"
22,The Silence of the Lambs,8.588048709368453,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
23,Cidade de Deus,8.578869592265788,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
24,Saving Private Ryan,8.577805178148658,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
25,La vita è bella,8.566065670763752,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
26,The Green Mile,8.559879420842098,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
27,Interstellar,8.556022019365521,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
28,Star Wars,8.554068649124169,1977,"George Lucas (dir.), Mark Hamill, Harrison Ford"
29,Terminator 2: Judgment Day,8.535164416531844,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
30,Back to the Future,8.51815733716044,1985,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
31,Sen to Chihiro no kamikakushi,8.51528404972402,2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
32,Psycho,8.508596757252183,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
33,The Pianist,8.504590966961818,2002,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
34,Léon,8.500384083128607,1994,"Luc Besson (dir.), Jean Reno, Gary Oldman"
35,Gisaengchung,8.495744928479155,2019,"Bong Joon Ho (dir.), Song Kang-ho, Sun-kyun Lee"
36,The Lion King,8.488435503294562,1994,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons"
37,Gladiator,8.485424949791762,2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
38,American History X,8.484360534393996,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong"
39,The Usual Suspects,8.476153564947719,1995,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
40,The Departed,8.475096501586235,2006,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
41,The Prestige,8.467994136503874,2006,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman"
42,Casablanca,8.465445920128547,1942,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
43,Top Gun: Maverick,8.461228926122475,2022,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly"
44,Whiplash,8.460544614093733,2014,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons"
45,The Intouchables,8.45367419768033,2011,"Olivier Nakache (dir.), François Cluzet, Omar Sy"
46,Modern Times,8.449627694946415,1936,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
47,Seppuku,8.448633904023119,1962,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama"
48,Hotaru no haka,8.447753583029437,1988,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi"
49,Once Upon a Time in the West,8.44755969409272,1968,"Sergio Leone (dir.), Henry Fonda, Charles Bronson"
50,Rear Window,8.437172973622326,1954,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly"
51,Alien,8.435165671600645,1979,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt"
52,City Lights,8.433999967468502,1931,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill"
53,Nuovo Cinema Paradiso,8.429288145420758,1988,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale"
54,Memento,8.425802670970112,2000,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss"
55,Apocalypse Now,8.425143205095916,1979,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando"
56,Raiders of the Lost Ark,8.411617047208527,1981,"Steven Spielberg (dir.), Harrison Ford, Karen Allen"
57,Django Unchained,8.402869804741988,2012,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz"
58,WALL·E,8.392722559083454,2008,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight"
59,The Lives of Others,8.386225704029718,2006,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck"
60,Sunset Blvd,8.38250113566331,1950,"Billy Wilder (dir.), William Holden, Gloria Swanson"
61,Paths of Glory,8.37087852088356,1957,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker"
62,The Shining,8.367832090731763,1980,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall"
63,The Great Dictator,8.366207843684915,1940,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
64,Witness for the Prosecution,8.356992596350164,1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich"
65,Avengers: Infinity War,8.356009672725305,2018,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth"
66,Aliens,8.344678598367633,1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn"
67,American Beauty,8.337645323445308,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening"
68,Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.33339677416065,1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott"
69,Spider-Man: Into the Spider-Verse,8.328883939596716,2018,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson"
70,The Dark Knight Rises,8.328633060748318,2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy"
71,Oldeuboi,8.319828206168893,2003,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-Tae"
72,Joker,8.319583010239127,2019,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro"
73,Amadeus,8.315429631860901,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce"
74,Braveheart,8.315376242782069,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau"
75,Toy Story,8.314831811006801,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen"
76,Coco,8.312183620827165,2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal"
77,Das Boot,8.311699793592657,1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer"
78,Inglourious Basterds,8.31105499435075,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger"
79,Mononoke-hime,8.303609485720326,1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida"
80,Avengers: Endgame,8.301292088685992,2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
81,Once Upon a Time in America,8.300287567826691,1984,"Sergio Leone (dir.), Robert De Niro, James Woods"
82,Good Will Hunting,8.286636378770918,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon"
83,Requiem for a Dream,8.276777655505917,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto"
84,Toy Story 3,8.276678632320325,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen"
85,Kimi no na wa,8.274867785856154,2016,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi"
86,Singin' in the Rain,8.273669631913325,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
87,3 Idiots,8.269090297609061,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
88,Star Wars: Episode VI - Return of the Jedi,8.267897483747335,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford"
89,2001: A Space Odyssey,8.265118405852716,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
90,Eternal Sunshine of the Spotless Mind,8.264419124179138,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet"
91,Reservoir Dogs,8.26428955874193,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth"
92,Tengoku to jigoku,8.263456497893173,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada"
93,Capharnaüm,8.258524470879715,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw"
